Campaign,First,Last,District,campaign-website,ActBlue,Ballotpedia,X,Facebook,Instagram,abortion.md,guns.md,middle-east.md,environment.md,labor.md,
DCCC Frontline,Val,Hoyle,OR-04,https://valhoyle.com/,https://secure.actblue.com/donate/rtb24hoyle,https://ballotpedia.org/Val_Hoyle,https://x.com/RepValHoyle?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/repvalhoyle/,rephoyle,0,1,2,2,0,
DCCC Frontline,Marcy,Kaptur,OH-09,https://marcykaptur.com/,https://secure.actblue.com/donate/rtb24kaptur,https://ballotpedia.org/Marcy_Kaptur,https://x.com/RepMarcyKaptur?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepMarcyKaptur/,repmarcykaptur,1,0,2,2,1,
DCCC Frontline,Greg,Landsman,OH-01,https://www.landsmanforcongress.com/,https://secure.actblue.com/donate/rtb24landsman,https://ballotpedia.org/Greg_Landsman,https://x.com/GregLandsman?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/VoteGregLandsman/,greglandsman,1,1,0,3,0,
DCCC Frontline,Susie,Lee,NV-03,https://susieleeforcongress.com/,https://secure.actblue.com/donate/rtb24lee,https://ballotpedia.org/Susie_Lee,https://x.com/RepSusieLee?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepSusieLee/,susieleenv,2,3,2,0,0,
DCCC Frontline,Mike,Levin,CA-49,https://www.mikelevin.org/,https://secure.actblue.com/donate/rtb24levin,https://ballotpedia.org/Mike_Levin,https://x.com/repmikelevin?lang=en,https://www.facebook.com/RepMikeLevin/,repmikelevin,2,2,1,3,0,
DCCC Frontline,Frank,Mrvan,IN-01,https://mrvanforcongress.com/,https://secure.actblue.com/donate/rtb24mrvan,https://ballotpedia.org/Frank_Mrvan_(Indiana_congressional_member),https://x.com/RepMrvan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/mrvanforcongress/,repmrvan,3,3,3,3,1,
DCCC Frontline,Chris,Pappas,NH-01,https://www.chrispappas.org/,https://secure.actblue.com/donate/rtb24pappas,https://ballotpedia.org/Chris_Pappas,https://x.com/repchrispappas?lang=en,https://www.facebook.com/RepChrisPappas/,repchrispappas,3,1,1,0,2,
DCCC Frontline,Mary,Peltola,AK-AL,https://marypeltola.com/,https://secure.actblue.com/donate/rtb24peltola,https://ballotpedia.org/Mary_Peltola,https://x.com/MaryPeltola?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/Peltola4Congress/,rep_peltola,2,0,3,2,3,
DCCC Frontline,Gluesenkamp,Perez,WA-03,https://marieforcongress.com/,https://secure.actblue.com/donate/rtb24perez,https://ballotpedia.org/Marie_Gluesenkamp_Perez,https://x.com/repmgp?lang=en,https://www.facebook.com/RepMGP/,mgpforcongress,3,0,1,2,0,
DCCC Frontline,Pat,Ryan,NY-18,https://www.patryanforcongress.com/,https://secure.actblue.com/donate/rtb24ryan,https://ballotpedia.org/Pat_Ryan_(New_York),https://x.com/PatRyanUC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RepPatRyan/,patryanforcongress,3,2,3,0,1,
DCCC Frontline,Andrea,Salinas,OR-06,https://www.andreasalinasfororegon.com/,https://secure.actblue.com/donate/rtb24salinas,https://ballotpedia.org/Andrea_Salinas,https://x.com/repsalinas?lang=en,https://www.facebook.com/RepSalinas/,repsalinas,2,3,3,3,3,
DCCC Frontline,Hillary,Scholten,MI-03,https://hillaryscholten.com/,https://secure.actblue.com/donate/rtb24scholten,https://ballotpedia.org/Hillary_Scholten,https://x.com/RepScholten?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/scholtenforcongress/,repscholten,0,2,0,0,0,
DCCC Frontline,Kim,Schrier,WA-08,https://www.drkimschrier.com/,https://secure.actblue.com/donate/rtb24schrier,https://ballotpedia.org/Kim_Schrier,https://x.com/repkimschrier?lang=en,https://www.facebook.com/DrKimSchrier/,repkimschrier,3,2,2,2,3,
DCCC Frontline,Eric,Sorensen,IL-17,https://www.ericforillinois.com/,https://secure.actblue.com/donate/rtb24sorensen,https://ballotpedia.org/Eric_Sorensen,https://x.com/RepEricSorensen,https://www.facebook.com/EricForIllinois/,repericsorensen,0,0,2,2,0,
DCCC Frontline,Tom,Suozzi,NY-03,https://suozziforcongress2024.com/,https://secure.actblue.com/donate/rtb24suozzi,https://ballotpedia.org/Tom_Suozzi,https://x.com/RepTomSuozzi?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/tom.suozzi/,reptomsuozzi,3,0,2,3,0,
DCCC Frontline,Emilia,Sykes,OH-13,https://www.emiliasykesforcongress.com/,https://secure.actblue.com/donate/rtb24sykes,https://ballotpedia.org/Emilia_Sykes,https://x.com/repemiliasykes?lang=en,https://www.facebook.com/repemiliasykes/,emilia_sykes,0,1,3,0,2,
DCCC Frontline,Dina,Titus,NV-01,https://www.dinatitus.com/,https://secure.actblue.com/donate/rtb24titus,https://ballotpedia.org/Dina_Titus,https://x.com/repdinatitus?lang=en,https://www.facebook.com/CongresswomanTitus/,dinatitusnv,0,0,1,3,0,
DCCC Frontline,Gabe,Vasquez,NM-02,https://gabeforcongress.com/,https://secure.actblue.com/donate/rtb24vasquez,https://ballotpedia.org/Gabriel_Vasquez,https://x.com/repgabevasquez?lang=en,https://www.facebook.com/RepGabeVasquez/,gabeforcongress,0,2,3,1,3,
DCCC Frontline,Susan,Wild,PA-07,https://wildforcongress.com/,https://secure.actblue.com/donate/rtb24wild,https://ballotpedia.org/Susan_Wild,https://x.com/repsusanwild?lang=en,https://www.facebook.com/repsusanwild/,repsusanwild,3,2,1,0,2,
DCCC R2B,Shomari,Figures,AL-02,https://www.figuresforcongress.com/,https://secure.actblue.com/donate/rtb24figures,https://ballotpedia.org/Shomari_Figures,https://x.com/shomarifigures,https://www.facebook.com/p/Figures-for-Congress-61553393160492/,figuresforcongress,3,0,1,2,2,
DCCC R2B,Kirsten,Engel,AZ-06,https://www.engelforarizona.com/,https://secure.actblue.com/donate/rtb24engel,https://ballotpedia.org/Kirsten_Engel,https://x.com/EngelForArizona?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/EngelForArizona/,engelforarizona,2,3,1,0,1,
DCCC R2B,Adam,Gray,CA-13,https://www.adamgrayforcongress.com/,https://secure.actblue.com/donate/rtb24gray,https://ballotpedia.org/Adam_Gray,https://x.com/adamgrayca?lang=en,https://www.facebook.com/AdamGrayForCongress/,adamgrayforcongress,1,0,2,3,1,X
DCCC R2B,Rudy,Salas,CA-22,https://www.rudysalas.com/,https://secure.actblue.com/donate/rtb24salas,https://ballotpedia.org/Rudy_Salas,https://x.com/RudySalasCA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/RudySalasValleyStrong/,rudysalasca,2,2,1,1,0,
DCCC R2B,George,Whitesides,CA-27,https://www.georgewhitesides.com/,https://secure.actblue.com/donate/rtb24whitesides,https://ballotpedia.org/George_Whitesides,https://x.com/gtwhitesides,https://www.facebook.com/whitesidesforcongress/,whitesidesforcongress,0,3,2,2,3,
DCCC R2B,Will,Rollins,CA-41,https://willrollinsforcongress.com/,https://secure.actblue.com/donate/rtb24rollins,https://ballotpedia.org/Will_Rollins,https://x.com/WillRollinsCA?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/WillRollinsForCongress/,willrollinsca,2,2,2,1,2,
DCCC R2B,Derek,Tran,CA-45,https://www.derektranforcongress.com/,https://secure.actblue.com/donate/rtb24tran,https://ballotpedia.org/Derek_Tran,https://x.com/derektranCA45?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/derektranforcongress,derektran4congress,1,0,1,1,2,
DCCC R2B,Dave,Min,CA-47,https://davemin.com/,https://secure.actblue.com/donate/rtb24min,https://ballotpedia.org/Dave_Min,https://x.com/SenDaveMin?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/daveminca/,sendavemin,1,1,2,3,3,
DCCC R2B,Adam,Frisch,CO-03,https://adamforcolorado.com/,https://secure.actblue.com/donate/rtb24frisch,https://ballotpedia.org/Adam_Frisch,https://x.com/AdamForColorado?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,adamforcolorado,1,3,2,3,3,
DCCC R2B,Christina,Bohannan,IA-01,https://www.bohannanforcongress.com/,https://secure.actblue.com/donate/rtb24bohannan,https://ballotpedia.org/Christina_Bohannan,https://x.com/BohannanIowa?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/christina.bohannan.5/,christinaforcongress,0,0,2,3,3,
DCCC R2B,Lanon,Baccam,IA-03,https://lanonbaccam.com/,https://secure.actblue.com/donate/rtb24baccam,https://ballotpedia.org/Lanon_Baccam,https://x.com/lanon_baccam?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/baccamforcongress/,lanon.baccam,1,3,3,2,0,X
DCCC R2B,Curtis,Hertel,MI-07,https://www.hertelformichigan.com/,https://secure.actblue.com/donate/rtb24hertel,https://ballotpedia.org/Curtis_Hertel,https://x.com/CurtisHertelJr?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.facebook.com/CurtisHertelforMichigan/,hertel4congress,3,1,3,2,2,X
